id,Nom,Référence,prix TTC,TVA,catalogId,vendorId,unit,Quantité,actif,image
537106,poireaux revente maraîchers du Val d'amour,POI-1,3.5,5.5,32264,15238,Kilogram,1,false,https://app.cagette.net/file/108748_0bb68fd31ba9286c2653c0471f6164e5
1196040,poivron vert,MYP-1,2.75,5.5,32264,15238,Gram,500,false,https://app.cagette.net/file/275037_b9dc835cd6572c74b1dc4c1ddee6be40
668860,pomme de terre Agria Félicien Krempp revente,FZO-1,3,5.5,32264,15238,Kilogram,1,false,https://app.cagette.net/file/150968_7fd3a983255a46f1ddf7f9624cf77f78
537107,Pommes de Terre Agria,PDTA-1,2.5,5.5,32264,15238,Kilogram,1,false,https://app.cagette.net/file/95185_138e29746a9bc9d64622038901e343f0
1240307,Pommes de Terre Agria Félicien Krempp - Filet,PDTA-2,12.5,5.5,32264,15238,Kilogram,5,false,https://app.cagette.net/file/95185_138e29746a9bc9d64622038901e343f0
537108,Pommes de Terres Gourmandine ferme Félicien Krempp,HLY-1,2.5,5.5,32264,15238,Kilogram,1,false,https://app.cagette.net/file/95191_a44cf260bf1d7c5c2b5863014cece7ec
1305632,Pommes de Terres Gourmandine ferme Félicien Krempp - Filet,PDTG-2,12.5,5.5,32264,15238,Kilogram,5,false,https://app.cagette.net/file/95191_a44cf260bf1d7c5c2b5863014cece7ec
739058,Potimarron,Potm-1,2.5,5.5,32264,15238,Piece,1,false,https://app.cagette.net/file/174694_41d5a38471b50a4f9e3d40296bcf5165
658548,pourpier d'été,poure-1,1.1,5.5,32264,15238,Piece,1,true,https://app.cagette.net/file/147800_8aac93dc263bcdb031d5852dd5447139
826613,Pourpier d'hvier,HPO-2,2.7,5.5,32264,15238,Gram,300,false,https://app.cagette.net/file/95194_31cb756eedc235888eb3f05e76beaff4
826614,Pourpier d'hvier,HPO-1,0.95,5.5,32264,15238,Gram,100,false,https://app.cagette.net/file/95194_31cb756eedc235888eb3f05e76beaff4
537109,Radis - Botte,Radr-1,1.8,5.5,32264,15238,Piece,1,false,https://app.cagette.net/file/102617_fdde7931acc773d1d62f94e3437487c7
793539,Radis asiatiques,Radas-1,1.75,5.5,32264,15238,Gram,500,false,https://app.cagette.net/file/193692_c2b4cd234560b9aba6a32071a55dd36f
970035,Radis noir,CCT-1,1.35,5.5,32264,15238,Gram,500,false,https://app.cagette.net/file/279349_b7d4eac15e7e1344c930b886fd738240
557543,Radis rose,PLQ-1,1.8,5.5,32264,15238,Piece,1,false,https://app.cagette.net/img/taxo/grey/legumes.png
597424,Rhubarbe,Rhu-1,2.25,5.5,32264,15238,Gram,500,false,https://app.cagette.net/img/taxo/grey/legumes.png
